_ID,COUNTRYCODE,VIN,WARNING_WARNINGLIGHTTYPE_CODE,WARNING_WARNINGLIGHTTYPE_DESCRIPTION,WARNING_WARNINGLIGHTTYPE_SYMBOL,WARNING_WARNINGLIGHTTYPE_PRIORITY,WARNING_TIMESTAMP,WARNING_MILEAGE_VALUE,WARNING_MILEAGE_UNIT,PRIORITY
VF4009269695-01-003,pl,a67f5eaad6e3c87f3,2,Low Washer Fluid,WASH,4,2024-08-02 11:02:23.000,26439,KM,Information
VF4009274875-01-003,pl,3445bf8fa4f4abe9f,2,Low Washer Fluid,WASH,4,2024-08-02 11:56:12.000,23671,KM,Information
VF4009260908-01-003,es,9aa610638302ffb2c,2,Low Washer Fluid,WASH,4,2024-08-02 09:36:39.000,25883,KM,Information
VF4009299909-01-173,pl,a67f5eaad6e3c87f3,91,RSA(Road Sign Asist) warning,RSAW,3,2024-08-02 16:09:21.000,2149,KM,Minor
VF4009309554-01-112,pl,6aae7c2bf0c656d7e,38,Tire low pressure warning,TILW,4,2024-08-02 18:26:42.000,7443,KM,Information
VF4009280372-01-001,sk,c394628c963b4467a,2,Low Washer Fluid,WASH,4,2024-08-02 12:52:42.000,14485,KM,Information
VF4009235991-01-112,hu,6757761a2cc66cb8a,38,Tire low pressure warning,TILW,4,2024-08-02 04:35:03.000,11003,KM,Information
VF4009303168-01-173,es,3ee162940211653ee,91,RSA(Road Sign Asist) warning,RSAW,3,2024-08-02 16:49:04.000,2188,KM,Minor
VF4009307932-01-173,es,d083aa5b218b88d79,91,RSA(Road Sign Asist) warning,RSAW,3,2024-08-02 17:58:06.000,2228,KM,Minor
VF4009302277-01-173,,a67f5eaad6e3c87f3,91,RSA(Road Sign Asist) warning,RSAW,3,2024-08-02 16:38:12.000,4798,KM,Minor
VF4009308883-01-173,pl,4d14df2bfa5d9e9e8,91,RSA(Road Sign Asist) warning,RSAW,3,2024-08-02 18:14:21.000,1253,KM,Minor
VF4009285464-01-173,,574a18946a8db42cb,91,RSA(Road Sign Asist) warning,RSAW,3,2024-08-02 13:43:09.000,27,KM,Minor
VF4009293830-01-003,it,a39426afc6c9f5a19,2,Low Washer Fluid,WASH,4,2024-08-02 15:04:30.000,55077,KM,Information
VF4009294001-01-003,pl,c0d1a931a2e6a0be9,2,Low Washer Fluid,WASH,4,2024-08-02 15:06:22.000,68780,KM,Information
VF4009236916-01-003,sk,d9550c8e8e4dd8eba,2,Low Washer Fluid,WASH,4,2024-08-02 04:55:45.000,40345,KM,Information
VF4009263719-01-003,lu,e13bcde175e7464ff,2,Low Washer Fluid,WASH,4,2024-08-02 10:04:07.000,76736,KM,Information
VF4009272393-01-003,cz,79630d67a81c1fba3,2,Low Washer Fluid,WASH,4,2024-08-02 11:29:45.000,30117,KM,Information
VF4009316440-01-003,hu,a3a20093aff461b76,2,Low Washer Fluid,WASH,4,2024-08-02 22:25:24.000,17879,KM,Information
VF4009317170-01-003,hu,13f86f605909c85d9,2,Low Washer Fluid,WASH,4,2024-08-02 23:31:40.000,17913,KM,Information
VF4009193888-06-003,it,53408a38a82ece0ac,2,Low Washer Fluid,WASH,4,2024-08-02 16:59:08.000,38002,KM,Information
VF4009312715-01-003,pl,f895fc67b7f381e6c,2,Low Washer Fluid,WASH,4,2024-08-02 19:43:48.000,34205,KM,Information
VF4009242018-02-003,pl,25366fa0c7979cf45,2,Low Washer Fluid,WASH,4,2024-08-02 06:16:28.000,39826,KM,Information
VF4009312433-01-054,lt,dd7f66ceaad355395,38,Tire low pressure warning,TILW,4,2024-08-02 19:36:39.000,4918,KM,Information
VF4009246304-01-054,es,6b60147ff22310920,38,Tire low pressure warning,TILW,4,2024-08-02 07:08:22.000,21558,KM,Information
VF4009245321-01-003,ro,b63ba1037d8ee05db,2,Low Washer Fluid,WASH,4,2024-08-02 06:56:08.000,29185,KM,Information
VF4009234645-01-001,pl,61c86d8aca107fa70,2,Low Washer Fluid,WASH,4,2024-08-02 03:44:13.000,15321,KM,Information
VF4009287019-01-001,pl,f38493b939ddbfdb5,2,Low Washer Fluid,WASH,4,2024-08-02 13:57:21.000,15361,KM,Information
VF4009293400-01-001,pl,f895fc67b7f381e6c,2,Low Washer Fluid,WASH,4,2024-08-02 15:00:25.000,15391,KM,Information
VF4009305929-01-001,pl,32881121e5008d8e0,2,Low Washer Fluid,WASH,4,2024-08-02 17:25:36.000,15402,KM,Information
VF4009249755-01-112,cz,32579f20253685539,38,Tire low pressure warning,TILW,4,2024-08-02 07:46:13.000,10067,KM,Information
VF4009236228-01-001,cz,eb0a9c56d5a83022b,2,Low Washer Fluid,WASH,4,2024-08-02 04:40:11.000,7092,KM,Information
VF4009291329-01-001,cz,3445bf8fa4f4abe9f,2,Low Washer Fluid,WASH,4,2024-08-02 14:39:52.000,7169,KM,Information
VF4009272721-01-001,pl,0760b4c3540b7100c,2,Low Washer Fluid,WASH,4,2024-08-02 11:33:02.000,8787,KM,Information
VF4009280641-01-001,pl,f6eb89303336922ee,2,Low Washer Fluid,WASH,4,2024-08-02 12:55:33.000,8796,KM,Information
VF4009286380-01-001,pl,6c7c120f1828d83f7,2,Low Washer Fluid,WASH,4,2024-08-02 13:51:02.000,8804,KM,Information
VF4009310130-01-001,pl,c3070d66bc3427754,2,Low Washer Fluid,WASH,4,2024-08-02 18:37:43.000,8811,KM,Information
VF4009314711-01-001,pl,6a2bc0a64eb4d3efb,2,Low Washer Fluid,WASH,4,2024-08-02 20:56:28.000,8847,KM,Information
VF4009308937-01-173,cz,9aa610638302ffb2c,91,RSA(Road Sign Asist) warning,RSAW,3,2024-08-02 18:15:10.000,3782,KM,Minor
VF4009310542-01-001,pl,3d08c38acfa4f6bfe,2,Low Washer Fluid,WASH,4,2024-08-02 18:47:05.000,4350,KM,Information
VF4009274177-01-003,it,c172a6953302d0c1b,2,Low Washer Fluid,WASH,4,2024-08-02 11:48:31.000,75387,KM,Information
VF4009274177-03-003,it,2e378ae1abd63536a,2,Low Washer Fluid,WASH,4,2024-08-02 14:11:37.000,75391,KM,Information
VF4009272088-01-003,hu,fd67c0c15a79bbec2,2,Low Washer Fluid,WASH,4,2024-08-02 11:26:22.000,79436,KM,Information
VF4009253696-01-064,pl,79630d67a81c1fba3,42,Intuitive Parking Assist System,CSOW,2,2024-08-02 08:28:00.000,84439,KM,Major
VF4009235334-01-003,pl,81f1c73c7790ef072,2,Low Washer Fluid,WASH,4,2024-08-02 04:14:36.000,59884,KM,Information
VF4009271045-01-003,pl,25366fa0c7979cf45,2,Low Washer Fluid,WASH,4,2024-08-02 11:16:05.000,59926,KM,Information
VF4003973677-04-003,pl,8d7caa350a35c4f0f,2,Low Washer Fluid,WASH,4,2024-08-02 20:06:15.000,82831,KM,Information
VF4009309583-01-003,xk,364c98fc36498ed9c,2,Low Washer Fluid,WASH,4,2024-08-02 18:26:26.000,59248,KM,Information
VF4009298917-01-003,pl,25366fa0c7979cf45,2,Low Washer Fluid,WASH,4,2024-08-02 15:57:26.000,52479,KM,Information
VF4009240315-01-003,ro,aa7efdcd29de964e8,2,Low Washer Fluid,WASH,4,2024-08-02 05:52:21.000,18027,KM,Information
VF4009300836-01-003,ro,fe2e2a3397f12a202,2,Low Washer Fluid,WASH,4,2024-08-02 16:19:24.000,18050,KM,Information
VF4009242092-01-054,pl,dde289b49079aad2d,38,Tire low pressure warning,TILW,4,2024-08-02 06:16:00.000,38843,KM,Information
VF4009242860-01-003,pl,6e6ae8407a23e31ec,2,Low Washer Fluid,WASH,4,2024-08-02 06:25:29.000,38843,KM,Information
VF4009266363-01-003,pl,15dbf9bca3fff9b89,2,Low Washer Fluid,WASH,4,2024-08-02 10:29:08.000,38892,KM,Information
VF4009294976-01-003,ro,0ec9dbc1eb27edd0c,2,Low Washer Fluid,WASH,4,2024-08-02 15:15:47.000,8849,KM,Information
VF4009240974-01-054,pl,a3a20093aff461b76,38,Tire low pressure warning,TILW,4,2024-08-02 06:01:57.000,51149,KM,Information
VF4009244756-01-054,hu,0760b4c3540b7100c,38,Tire low pressure warning,TILW,4,2024-08-02 06:50:08.000,13898,KM,Information
VF4009275327-01-173,pl,831981ba3bba1e851,91,RSA(Road Sign Asist) warning,RSAW,3,2024-08-02 12:01:36.000,13359,KM,Minor
VF4009233839-01-001,it,f8963314460f4a182,2,Low Washer Fluid,WASH,4,2024-08-02 02:41:17.000,59,KM,Information
VF4009233988-01-001,it,78ef853b83b6f2abb,2,Low Washer Fluid,WASH,4,2024-08-02 02:59:47.000,66,KM,Information
VF4009286748-01-001,hu,e2137c7a00e58d275,2,Low Washer Fluid,WASH,4,2024-08-02 13:54:35.000,11099,KM,Information
VF4009259935-01-173,cz,8eb3a1e33ed5050d3,91,RSA(Road Sign Asist) warning,RSAW,3,2024-08-02 09:28:24.000,13103,KM,Minor
VF4009312371-01-173,cz,a1dc37c37eb5ae11b,91,RSA(Road Sign Asist) warning,RSAW,3,2024-08-02 19:34:44.000,13167,KM,Minor
VF4009276575-01-173,pl,2e378ae1abd63536a,91,RSA(Road Sign Asist) warning,RSAW,3,2024-08-02 12:14:20.000,1799,KM,Minor
VF4009280094-01-173,pl,946d3554547e141ab,91,RSA(Road Sign Asist) warning,RSAW,3,2024-08-02 12:50:31.000,4640,KM,Minor
VF4009255794-01-003,de,a5c72261a68d54580,2,Low Washer Fluid,WASH,4,2024-08-02 08:47:59.000,75274,KM,Information
VF4009238114-01-003,lv,1001e3da1ee0a4e7c,2,Low Washer Fluid,WASH,4,2024-08-02 05:18:16.000,60556,KM,Information
VF4009257411-01-003,lv,159cce53f3931edaa,2,Low Washer Fluid,WASH,4,2024-08-02 09:03:59.000,60589,KM,Information
VF4009287026-01-003,sk,6b60147ff22310920,2,Low Washer Fluid,WASH,4,2024-08-02 13:57:29.000,45553,KM,Information
VF4009309632-01-003,gb,05e519d4ac8e938a7,2,Low Washer Fluid,WASH,4,2024-08-02 18:27:30.000,37647,MI,Information
VF4009314485-01-011,pl,5d2be59f5d9ba52ef,11,Check Engine,ENGW,2,2024-08-02 20:47:19.000,133000,KM,Major
VF4009291614-01-003,pl,6aae7c2bf0c656d7e,2,Low Washer Fluid,WASH,4,2024-08-02 14:42:28.000,57334,KM,Information
VF4009304906-01-003,pl,dd7f66ceaad355395,2,Low Washer Fluid,WASH,4,2024-08-02 17:10:35.000,57490,KM,Information
VF4009305704-01-003,pl,f8963314460f4a182,2,Low Washer Fluid,WASH,4,2024-08-02 17:22:24.000,57651,KM,Information
VF4009271775-01-003,lv,7c59f08b78192f98a,2,Low Washer Fluid,WASH,4,2024-08-02 11:22:51.000,70266,KM,Information
VF4009247355-02-084,fr,7ee49ac6b4ebf241e,60,Grille Shutter System,GSW,2,2024-08-02 07:20:45.000,37013,KM,Major
VF4009265716-02-084,fr,2039dd774b91049c2,60,Grille Shutter System,GSW,2,2024-08-02 10:24:15.000,37030,KM,Major
VF4009290792-02-084,fr,1af6be0c25a5b3e71,60,Grille Shutter System,GSW,2,2024-08-02 14:35:37.000,37030,KM,Major
VF4009306827-02-084,fr,8eb3a1e33ed5050d3,60,Grille Shutter System,GSW,2,2024-08-02 17:50:26.000,37050,KM,Major
VF4009237638-01-003,pl,6757761a2cc66cb8a,2,Low Washer Fluid,WASH,4,2024-08-02 05:09:47.000,50060,KM,Information
VF4009297349-01-003,pl,dd7f66ceaad355395,2,Low Washer Fluid,WASH,4,2024-08-02 15:40:16.000,50090,KM,Information
VF4009310200-01-003,pl,140ab8d3645ebc727,2,Low Washer Fluid,WASH,4,2024-08-02 18:39:18.000,50124,KM,Information
VF4009235699-01-054,lt,79630d67a81c1fba3,38,Tire low pressure warning,TILW,4,2024-08-02 04:27:30.000,11017,KM,Information
VF4009312337-01-003,pl,f38493b939ddbfdb5,2,Low Washer Fluid,WASH,4,2024-08-02 19:32:56.000,22521,KM,Information
VF4009307327-01-003,cz,b63ba1037d8ee05db,2,Low Washer Fluid,WASH,4,2024-08-02 17:47:23.000,4132,KM,Information
VF4009255620-01-135,pl,4d14df2bfa5d9e9e8,42,Intuitive Parking Assist System,CSOW,2,2024-08-02 08:47:25.000,6424,KM,Major
VF4009275644-01-001,pl,a1dc37c37eb5ae11b,2,Low Washer Fluid,WASH,4,2024-08-02 12:04:09.000,19999,KM,Information
VF4009291952-01-001,pl,e25cd9019ed3c6d72,2,Low Washer Fluid,WASH,4,2024-08-02 14:46:02.000,20080,KM,Information
VF4009297747-01-001,pl,fa0374c5ad08e6626,2,Low Washer Fluid,WASH,4,2024-08-02 15:44:35.000,20083,KM,Information
VF4009276126-01-112,pl,79630d67a81c1fba3,38,Tire low pressure warning,TILW,4,2024-08-02 12:09:49.000,16943,KM,Information
VF4009312169-01-003,be,c7a1df5df66b2b03c,2,Low Washer Fluid,WASH,4,2024-08-02 19:28:07.000,88616,KM,Information
VF4009314964-02-003,gb,c3f525e33afb4ab65,2,Low Washer Fluid,WASH,4,2024-08-02 21:08:31.000,57050,MI,Information
VF4009256028-01-003,ro,d55e1fb68d84e3e52,2,Low Washer Fluid,WASH,4,2024-08-02 08:50:19.000,67614,KM,Information
VF4008953421-02-003,fr,c3070d66bc3427754,2,Low Washer Fluid,WASH,4,2024-08-02 09:30:35.000,57022,KM,Information
VF4008953421-04-003,fr,1001e3da1ee0a4e7c,2,Low Washer Fluid,WASH,4,2024-08-02 09:42:00.000,57022,KM,Information
VF4009263641-02-003,fr,194e7f94ddc0079ce,2,Low Washer Fluid,WASH,4,2024-08-02 10:47:35.000,57028,KM,Information
VF4009263641-04-003,fr,927ae82bd7b1712c3,2,Low Washer Fluid,WASH,4,2024-08-02 11:03:52.000,57030,KM,Information
VF4009274087-01-003,fr,b4eedf7386ddff283,2,Low Washer Fluid,WASH,4,2024-08-02 11:47:32.000,57046,KM,Information
VF4009277612-01-003,fr,6b60147ff22310920,2,Low Washer Fluid,WASH,4,2024-08-02 12:24:02.000,57051,KM,Information
VF4009273653-01-003,hu,64bc865fb27b7bf96,2,Low Washer Fluid,WASH,4,2024-08-02 11:43:22.000,47384,KM,Information
VF4009247723-02-003,hu,d25592ca9a95e57e2,2,Low Washer Fluid,WASH,4,2024-08-02 07:53:43.000,211172,KM,Information
VF4009254968-01-003,hu,c0d1a931a2e6a0be9,2,Low Washer Fluid,WASH,4,2024-08-02 08:40:05.000,211176,KM,Information
VF4009303983-02-003,hu,c7a1df5df66b2b03c,2,Low Washer Fluid,WASH,4,2024-08-02 16:59:54.000,211333,KM,Information
VF4009304175-01-003,hu,fd67c0c15a79bbec2,2,Low Washer Fluid,WASH,4,2024-08-02 17:01:21.000,50218,KM,Information
VF4009302543-01-003,cz,31c257d86a4fa4e66,2,Low Washer Fluid,WASH,4,2024-08-02 16:40:21.000,15412,KM,Information
VF4009297408-01-003,pl,c7a1df5df66b2b03c,2,Low Washer Fluid,WASH,4,2024-08-02 15:41:04.000,60674,KM,Information
VF4009300616-01-003,pl,3c7f137123c0248d5,2,Low Washer Fluid,WASH,4,2024-08-02 16:16:45.000,60696,KM,Information
VF4009244465-01-054,si,c31a61948ef87a723,38,Tire low pressure warning,TILW,4,2024-08-02 06:46:41.000,12612,KM,Information
VF4009245992-01-054,es,f27088b9f59e867aa,38,Tire low pressure warning,TILW,4,2024-08-02 07:04:38.000,12615,KM,Information
VF4009294712-01-003,bg,e25cd9019ed3c6d72,2,Low Washer Fluid,WASH,4,2024-08-02 15:13:13.000,11455,KM,Information
VF4009237897-02-003,pl,38017f1b438204e38,2,Low Washer Fluid,WASH,4,2024-08-02 05:20:27.000,13114,KM,Information
VF4009254557-01-001,pl,ed6f38fc735f1c836,2,Low Washer Fluid,WASH,4,2024-08-02 08:36:09.000,7405,KM,Information
VF4009315410-01-001,pl,c394628c963b4467a,2,Low Washer Fluid,WASH,4,2024-08-02 21:26:05.000,3772,KM,Information
VF4009256228-01-173,pl,c31a61948ef87a723,91,RSA(Road Sign Asist) warning,RSAW,3,2024-08-02 08:53:07.000,6920,KM,Minor
VF4009282239-01-173,pl,1af6be0c25a5b3e71,91,RSA(Road Sign Asist) warning,RSAW,3,2024-08-02 13:11:41.000,1895,KM,Minor
VF4009301894-01-003,be,d4945af0179efd6ef,2,Low Washer Fluid,WASH,4,2024-08-02 16:32:40.000,58064,KM,Information
VF4009246255-01-003,pl,7c59f08b78192f98a,2,Low Washer Fluid,WASH,4,2024-08-02 07:06:57.000,44471,KM,Information
VF4001325185-01-011,it,d89fe33748043ca4e,11,Check Engine,ENGW,2,2024-08-02 05:56:52.000,96640,KM,Major
VF4009261197-01-030,cz,b4eedf7386ddff283,30,Tire Pressure Warning System,TIRW,4,2024-08-02 09:40:01.000,38953,KM,Information
VF4009285598-01-003,pl,9982fd6aedc8f4ad5,2,Low Washer Fluid,WASH,4,2024-08-02 13:43:25.000,30539,KM,Information
VF4009305347-01-003,pl,81f1c73c7790ef072,2,Low Washer Fluid,WASH,4,2024-08-02 17:17:16.000,30567,KM,Information
VF4009266083-01-045,es,3ec6da1611fd381c2,103,Pre-Collision System,MET_PCSW,2,2024-08-02 10:27:35.000,68740,KM,Major
VF4009266083-01-071,es,d5c5b5cd608737222,46,Automatic High Beam System,SMBW,2,2024-08-02 10:27:35.000,68740,KM,Major
VF4009266083-01-096,es,4c3e4535173fe1587,108,Sonar System,ASSW,2,2024-08-02 10:27:35.000,68740,KM,Major
VF4009266083-01-116,es,fd56f30f183aea35d,89,Lane change assist warning,LTAW,2,2024-08-02 10:27:35.000,68740,KM,Major
VF4009266083-02-045,es,6aae7c2bf0c656d7e,103,Pre-Collision System,MET_PCSW,2,2024-08-02 10:34:23.000,68740,KM,Major
VF4009266083-02-096,es,e13bcde175e7464ff,108,Sonar System,ASSW,2,2024-08-02 10:34:23.000,68740,KM,Major
VF4009266083-02-116,es,c7a1df5df66b2b03c,89,Lane change assist warning,LTAW,2,2024-08-02 10:34:23.000,68740,KM,Major
VF4009266083-03-071,es,7da67fbfe7b49694f,46,Automatic High Beam System,SMBW,2,2024-08-02 10:34:33.000,68740,KM,Major
VF4009272252-01-003,be,e25cd9019ed3c6d72,2,Low Washer Fluid,WASH,4,2024-08-02 11:27:57.000,60787,KM,Information
VF4009301718-01-003,hu,5ff58d4072629a980,2,Low Washer Fluid,WASH,4,2024-08-02 16:30:29.000,28004,KM,Information
VF4009315598-01-003,pl,1001e3da1ee0a4e7c,2,Low Washer Fluid,WASH,4,2024-08-02 21:35:56.000,20287,KM,Information
VF4009268963-01-003,ba,cd168ffecf6799472,2,Low Washer Fluid,WASH,4,2024-08-02 10:55:09.000,69599,KM,Information
VF4009247641-01-003,pl,71095a99b07a8c762,2,Low Washer Fluid,WASH,4,2024-08-02 07:22:49.000,32123,KM,Information
VF4009252537-01-003,pl,6b60147ff22310920,2,Low Washer Fluid,WASH,4,2024-08-02 08:15:45.000,32129,KM,Information
VF4009299142-01-003,pl,c172a6953302d0c1b,2,Low Washer Fluid,WASH,4,2024-08-02 16:00:05.000,32137,KM,Information
VF4009304178-01-003,pl,04bbf9b500dffa8e3,2,Low Washer Fluid,WASH,4,2024-08-02 17:01:22.000,32156,KM,Information
VF4009305367-01-003,pl,d083aa5b218b88d79,2,Low Washer Fluid,WASH,4,2024-08-02 17:17:43.000,32164,KM,Information
VF4009216707-02-003,pl,b34bff266953ac2cd,2,Low Washer Fluid,WASH,4,2024-08-02 05:56:13.000,30880,KM,Information
VF4009249265-01-054,pl,2721d00ca143437a0,38,Tire low pressure warning,TILW,4,2024-08-02 07:41:23.000,34465,KM,Information
VF4009294208-01-003,de,fd67c0c15a79bbec2,2,Low Washer Fluid,WASH,4,2024-08-02 15:08:18.000,30460,KM,Information
VF4009233672-01-003,ro,991533b2f2c87e553,2,Low Washer Fluid,WASH,4,2024-08-02 02:15:04.000,23531,KM,Information
VF4009252757-01-003,ro,15fdb37eb5e8e3812,2,Low Washer Fluid,WASH,4,2024-08-02 08:17:54.000,23713,KM,Information
VF4009259973-01-003,ro,b34bff266953ac2cd,2,Low Washer Fluid,WASH,4,2024-08-02 09:27:53.000,23844,KM,Information
VF4009271506-01-003,ch,6757761a2cc66cb8a,2,Low Washer Fluid,WASH,4,2024-08-02 11:11:31.000,13240,KM,Information
VF4009271506-03-003,ch,13f86f605909c85d9,2,Low Washer Fluid,WASH,4,2024-08-02 14:49:35.000,13261,KM,Information
VF4009262073-01-009,cz,a40b6d953aa28beb6,8,Cruise control System,C_CW,2,2024-08-02 09:48:55.000,5101,KM,Major
VF4009263609-01-003,cz,f6eb89303336922ee,2,Low Washer Fluid,WASH,4,2024-08-02 10:02:47.000,5101,KM,Information
VF4009266847-01-003,cz,194e7f94ddc0079ce,2,Low Washer Fluid,WASH,4,2024-08-02 10:34:00.000,5110,KM,Information
VF4009267890-01-009,cz,3ee162940211653ee,8,Cruise control System,C_CW,2,2024-08-02 10:45:07.000,5110,KM,Major
VF4009275513-01-003,cz,d5c5b5cd608737222,2,Low Washer Fluid,WASH,4,2024-08-02 12:02:38.000,5121,KM,Information
VF4009277394-01-173,at,25366fa0c7979cf45,91,RSA(Road Sign Asist) warning,RSAW,3,2024-08-02 12:22:36.000,15660,KM,Minor
VF4009294962-01-001,cz,3ee162940211653ee,2,Low Washer Fluid,WASH,4,2024-08-02 15:15:37.000,9133,KM,Information
VF4009309349-01-001,cz,3ee162940211653ee,2,Low Washer Fluid,WASH,4,2024-08-02 18:21:53.000,9175,KM,Information
VF4009307421-01-112,,79630d67a81c1fba3,38,Tire low pressure warning,TILW,4,2024-08-02 17:49:58.000,298,KM,Information
VF4009248106-01-112,pl,cd168ffecf6799472,38,Tire low pressure warning,TILW,4,2024-08-02 07:28:39.000,20724,KM,Information
VF4009294623-01-173,pl,9982fd6aedc8f4ad5,91,RSA(Road Sign Asist) warning,RSAW,3,2024-08-02 15:13:09.000,4118,KM,Minor
VF4009296028-01-173,,15c96d4371ea582f4,91,RSA(Road Sign Asist) warning,RSAW,3,2024-08-02 15:27:17.000,22,KM,Minor
VF4009253898-01-030,hu,97d8b62c311ae055c,30,Tire Pressure Warning System,TIRW,4,2024-08-02 08:30:01.000,39798,KM,Information
VF4009264747-01-030,hu,3d08c38acfa4f6bfe,30,Tire Pressure Warning System,TIRW,4,2024-08-02 10:14:43.000,39822,KM,Information
VF4009275957-02-003,cz,d13092c457fbbad5a,2,Low Washer Fluid,WASH,4,2024-08-02 12:09:07.000,48786,KM,Information
VF4009295585-01-003,gb,f27088b9f59e867aa,2,Low Washer Fluid,WASH,4,2024-08-02 15:21:41.000,67014,MI,Information
VF4009312791-01-003,gb,3c7f137123c0248d5,2,Low Washer Fluid,WASH,4,2024-08-02 19:46:12.000,67237,MI,Information
VF4009312791-03-003,gb,7ad873dd444ec8cd1,2,Low Washer Fluid,WASH,4,2024-08-02 20:31:35.000,67264,MI,Information
VF4009245773-01-003,pl,04bbf9b500dffa8e3,2,Low Washer Fluid,WASH,4,2024-08-02 07:01:18.000,57356,KM,Information
VF4009263951-01-003,hu,be41f3b04a7a668c0,2,Low Washer Fluid,WASH,4,2024-08-02 10:06:03.000,30294,KM,Information
VF4009283930-02-003,pl,194e7f94ddc0079ce,2,Low Washer Fluid,WASH,4,2024-08-02 15:39:21.000,34500,KM,Information
VF4009304882-01-003,sk,13f86f605909c85d9,2,Low Washer Fluid,WASH,4,2024-08-02 17:10:20.000,39922,KM,Information
VF4009306011-01-003,sk,5ff58d4072629a980,2,Low Washer Fluid,WASH,4,2024-08-02 17:26:57.000,39932,KM,Information
VF4009300063-01-003,rs,f895fc67b7f381e6c,2,Low Washer Fluid,WASH,4,2024-08-02 16:06:14.000,65450,KM,Information
VF4009256271-01-003,lt,0760b4c3540b7100c,2,Low Washer Fluid,WASH,4,2024-08-02 08:52:41.000,40713,KM,Information
VF4009252094-02-003,pl,d5c5b5cd608737222,2,Low Washer Fluid,WASH,4,2024-08-02 08:11:56.000,52632,KM,Information
